File path,File Name,Test Files Added Date,Number Of People Involved,Number of Modifications,Modification Dates,People involved
numpy/core/tests/test_getlimits.py, test_getlimits.py, 2005-10-13, 19, 43,  2005-10-13 2005-10-19 2005-12-26 2006-01-04 2006-07-06 2006-07-17 2007-05-13 2007-10-02 2007-12-15 2007-12-29 2007-12-30 2008-06-17 2008-06-21 2009-01-14 2009-09-16 2009-12-06 2010-07-31 2010-11-09 2011-08-16 2012-03-04 2013-02-27 2013-03-27 2013-04-06 2013-04-13 2013-08-18 2015-07-22 2016-03-27 2017-02-03 2017-02-09 2017-07-17 2017-08-05 2017-10-29 2017-11-05 2018-04-04 2018-10-09 2019-08-27 2020-01-05 2021-07-19 2021-10-27,  Pearu Peterson Travis Oliphant cookedm Stefan van der Walt Jarrod Millman Alan McIntyre David Cournapeau Pauli Virtanen Darren Dale Mark Wiebe Brent Pedersen Ralf Gommers Charles Harris Jaime Fernandez Matthew Brett Allan Haldane Jon Dufresne Stephannie Jimenez Gacha Bas van Beek
numpy/fft/tests/test_helper.py, test_helper.py, 2005-10-13, 16, 37,  2005-10-13 2005-12-25 2005-12-26 2006-01-04 2006-07-06 2006-07-17 2006-08-04 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-03 2008-09-09 2010-05-10 2012-02-26 2012-03-05 2012-11-25 2013-02-27 2013-03-27 2013-04-06 2013-08-18 2014-07-31 2016-05-27 2016-06-08 2017-01-15 2017-07-17 2018-01-16 2018-04-04 2018-12-25 2019-08-27 2020-01-05 2020-02-05 2020-08-31,  Pearu Peterson Travis Oliphant cookedm Stefan van der Walt Alan McIntyre Robert Kern Charles Harris Henry Gomersall endolith Lion Krischer Sami Salonen Gaspar Karm Martin Reinecke Jon Dufresne Mike Taves Eric Wieser
numpy/distutils/tests/test_misc_util.py, test_misc_util.py, 2005-10-13, 11, 35,  2005-10-13 2005-12-09 2005-12-26 2006-01-04 2006-01-28 2006-02-11 2006-03-29 2006-03-30 2006-07-06 2006-07-17 2006-07-28 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-09-13 2011-04-05 2013-02-27 2013-03-27 2013-04-06 2013-04-08 2013-03-29 2013-08-18 2015-07-25 2016-06-12 2017-01-15 2017-07-17 2018-04-04 2018-12-06 2019-08-27 2020-01-05,  Pearu Peterson Travis Oliphant cookedm Stefan van der Walt Alan McIntyre Charles Harris Julian Taylor Ralf Gommers Sami Salonen Roman Yurchak Jon Dufresne
numpy/f2py/tests/test_array_from_pyobj.py, test_array_from_pyobj.py, 2005-10-25, 17, 60,  2005-10-25 2005-10-26 2005-10-28 2006-01-04 2006-01-05 2006-01-15 2006-01-25 2006-03-10 2006-07-06 2006-07-08 2006-07-17 2006-08-29 2007-12-15 2008-06-17 2008-06-21 2008-07-05 2010-03-06 2011-03-11 2011-04-05 2012-01-28 2013-02-26 2013-02-28 2013-02-27 2013-03-27 2013-04-06 2013-04-08 2013-04-09 2013-08-18 2014-02-03 2014-06-30 2014-07-27 2014-09-03 2015-07-25 2015-11-15 2017-07-17 2017-08-06 2017-11-08 2017-12-06 2018-04-04 2018-09-06 2018-09-21 2018-09-26 2019-08-27 2020-01-05 2021-01-06 2021-02-07 2021-04-27 2021-11-28 2021-12-02 2021-12-05 2021-12-06 2021-12-18,  Pearu Peterson Travis Oliphant cookedm Alan McIntyre Pauli Virtanen Charles Harris Julian Taylor Evgeni Burovski Matti Picus Eric Wieser Elliott Sales de Andrade Tyler Reddy mattip Jon Dufresne Sebastian Berg Olivier Grisel Rohit Goswami
numpy/lib/tests/test_ufunclike.py, test_ufunclike.py, 2005-10-29, 15, 46,  2005-10-29 2005-12-26 2006-01-04 2006-04-26 2006-07-06 2006-09-24 2006-09-25 2006-10-19 2006-12-24 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-08-08 2008-08-25 2009-03-10 2010-03-14 2010-04-13 2010-04-14 2010-04-18 2011-03-07 2013-02-27 2013-03-27 2013-04-06 2013-08-18 2013-09-02 2014-07-30 2017-04-26 2017-07-17 2018-04-04 2018-05-27 2018-06-11 2018-07-05 2018-07-26 2018-07-27 2018-07-30 2019-11-11 2019-08-27 2020-01-05,  cookedm Pearu Peterson Travis Oliphant Tim Hochberg Stefan van der Walt Alan McIntyre Jarrod Millman David Cournapeau Charles Harris Darren Dale rgommers Eric Wieser Marten van Kerkwijk Joscha Reimer Jon Dufresne
numpy/lib/tests/test_polynomial.py, test_polynomial.py, 2005-10-29, 33, 108,  2005-10-29 2005-12-21 2005-12-23 2005-12-26 2006-01-04 2006-01-15 2006-03-13 2006-04-26 2006-07-06 2006-07-17 2006-10-06 2007-01-08 2007-08-06 2007-10-02 2007-12-15 2007-12-29 2007-12-30 2008-03-15 2008-06-17 2008-06-21 2008-08-08 2009-04-24 2009-11-14 2009-11-28 2010-02-08 2010-02-21 2010-02-27 2010-05-21 2010-05-23 2010-06-07 2010-07-18 2010-08-15 2010-10-17 2011-03-01 2011-03-13 2011-04-05 2011-09-13 2011-09-14 2011-12-18 2011-12-20 2011-12-23 2011-12-24 2012-01-01 2012-05-11 2013-01-23 2013-02-27 2013-03-05 2013-03-27 2013-04-06 2013-06-20 2013-08-18 2013-09-02 2013-09-03 2014-07-29 2014-07-30 2014-09-25 2013-11-27 2015-01-25 2015-03-08 2015-12-03 2016-02-19 2016-04-12 2016-06-12 2016-06-15 2017-03-09 2017-03-21 2017-07-08 2017-07-17 2017-10-26 2018-01-31 2018-04-04 2018-04-15 2017-11-16 2018-08-26 2018-10-21 2018-05-30 2019-03-11 2019-07-14 2019-08-27 2020-01-05 2020-01-16 2020-01-26 2020-08-18 2020-10-17 2021-02-28 2021-05-28,  cookedm Pearu Peterson Travis Oliphant Tim Leslie Stefan van der Walt Jarrod Millman Charles Harris Alan McIntyre Pauli Virtanen rgommers Travis E. Oliphant Nathaniel J. Smith jaimefrio endolith Endolith Jonathan Underwood Dongjoon Hyun e-q Eric Wieser Deepak Kumar Gouda mattip Krzysztof Chomski Jeffrey Yancey Joachim Hereth Andreas Nussbaumer patto90 Jon Dufresne Matti Picus Anton Ritter-Gogerly jakobjakobson13 Cameron Blocker jbCodeHub Bas van Beek
None, test_ma.py, 2005-11-10, 7, 51,  2005-11-10 2005-11-14 2005-11-16 2005-12-26 2006-01-04 2006-01-05 2006-01-06 2006-01-08 2006-01-11 2006-01-12 2006-01-14 2006-01-15 2006-01-17 2006-01-18 2006-01-26 2006-02-16 2006-02-17 2006-02-18 2006-03-01 2006-03-05 2006-03-06 2006-03-10 2006-03-19 2006-03-22 2006-04-06 2006-06-02 2006-06-12 2006-07-06 2006-07-17 2006-08-05 2006-08-13 2006-08-29 2006-10-19 2007-01-08 2007-03-30 2007-10-02 2007-12-15,  Travis Oliphant Pearu Peterson sasha cookedm Tim Leslie Tim Hochberg Stefan van der Walt
numpy/core/tests/test_records.py, test_records.py, 2005-12-13, 33, 102,  2005-12-13 2005-12-14 2005-12-26 2005-12-27 2005-12-29 2006-01-04 2006-03-10 2006-04-26 2006-06-27 2006-07-06 2006-07-19 2006-10-29 2007-08-21 2007-10-02 2007-12-15 2008-05-15 2008-06-17 2008-06-21 2008-06-29 2008-07-03 2008-07-08 2008-07-21 2008-08-08 2009-11-10 2010-02-20 2010-02-21 2010-08-14 2011-03-22 2011-06-22 2012-03-10 2012-08-06 2012-08-07 2013-02-27 2013-03-05 2013-03-27 2013-04-06 2013-07-09 2014-10-31 2015-01-22 2015-01-25 2015-01-29 2015-05-27 2015-03-04 2015-06-06 2015-03-05 2015-06-05 2015-07-05 2015-07-22 2015-10-17 2015-11-06 2016-01-06 2016-01-29 2015-10-08 2015-07-27 2016-10-20 2017-01-17 2017-03-25 2017-07-17 2017-08-01 2015-07-28 2017-12-08 2018-01-12 2018-01-15 2018-01-19 2018-03-14 2018-03-30 2018-04-04 2018-06-10 2018-10-05 2018-09-19 2018-11-01 2018-11-05 2018-11-22 2018-12-06 2019-02-21 2019-03-15 2019-06-07 2019-08-16 2019-12-11 2019-08-27 2020-01-05 2020-01-14 2020-01-08 2020-01-21 2020-01-22 2020-08-13 2020-11-19,  chanley Pearu Peterson Travis Oliphant cookedm Stefan van der Walt Alan McIntyre Charles Harris Jarrod Millman pierregm Pauli Virtanen rgommers Ralf Gommers cgohlke mwtoews Erik M. Bray Allan Haldane Marten van Kerkwijk Graham Markall Eric Wieser Frederick Lefebvre luz.paz Pierre Glaser Paul Müller Tyler Reddy Roman Yurchak Daniel Hrisca Matti Picus Jon Dufresne Brian Wignall Seth Troisi Mike Taves Sidhant Bansal Sebastian Berg
numpy/matrixlib/tests/test_defmatrix.py, test_defmatrix.py, 2006-01-05, 25, 70,  2006-01-05 2006-01-15 2006-01-20 2006-02-15 2006-02-17 2006-03-10 2006-05-09 2006-05-11 2006-06-27 2006-07-02 2006-07-06 2006-09-13 2006-10-24 2007-01-08 2007-10-02 2007-11-28 2007-12-15 2008-04-23 2008-04-25 2008-05-08 2008-05-15 2008-05-22 2008-06-17 2008-06-21 2008-07-03 2008-07-09 2008-07-21 2008-08-08 2008-11-24 2009-03-02 2009-07-12 2009-09-16 2009-09-18 2010-04-30 2011-01-17 2011-04-05 2011-08-03 2013-02-27 2013-03-05 2013-03-27 2013-04-06 2013-05-23 2013-05-18 2013-08-18 2014-02-03 2014-07-31 2014-12-16 2015-01-03 2015-05-10 2015-07-01 2015-07-25 2017-03-01 2017-07-17 2017-08-01 2018-03-14 2018-03-30 2018-04-04 2018-04-27 2018-05-22 2018-07-30 2018-09-06 2018-09-13 2018-12-06 2019-08-27 2020-01-05 2020-01-22,  Travis Oliphant edschofield cookedm Stefan van der Walt Jarrod Millman Charles Harris aarchiba Alan McIntyre pierregm David Cournapeau Pauli Virtanen Mark Wiebe Leon Weber Julian Taylor alex Garrett-R Jaime Fernandez Zè Vinícius Eric Wieser Frederick Lefebvre luz.paz Marten van Kerkwijk Roman Yurchak Jon Dufresne Mike Taves
numpy/core/tests/test_multiarray.py, test_multiarray.py, 2006-01-06, 142, 761,  2006-01-06 2006-01-10 2006-01-11 2006-01-13 2006-01-15 2006-01-18 2006-01-21 2006-02-03 2006-02-14 2006-02-15 2006-02-17 2006-02-24 2006-02-26 2006-02-28 2006-03-01 2006-03-06 2006-03-10 2006-03-31 2006-04-13 2006-04-14 2006-04-19 2006-05-17 2006-06-10 2006-06-30 2006-07-06 2006-07-08 2006-07-17 2006-07-21 2006-09-30 2007-01-08 2007-03-30 2007-04-02 2007-04-30 2007-05-10 2007-08-21 2007-08-25 2007-08-26 2007-08-27 2007-08-28 2007-08-29 2007-10-02 2007-12-03 2007-12-11 2007-12-15 2007-12-29 2007-12-30 2008-02-12 2008-02-13 2008-02-14 2008-03-04 2008-03-18 2008-03-27 2008-04-05 2008-04-17 2008-04-18 2008-04-25 2008-04-30 2008-05-01 2008-05-13 2008-05-19 2008-05-21 2008-06-17 2008-06-21 2008-07-13 2008-07-16 2008-07-21 2008-10-03 2008-12-30 2008-12-31 2009-01-12 2009-02-14 2009-02-25 2009-02-27 2009-05-23 2009-07-21 2009-07-27 2009-08-02 2009-08-07 2009-09-16 2009-09-18 2009-11-07 2009-12-06 2009-12-10 2010-01-15 2010-01-19 2010-02-20 2010-02-21 2010-04-04 2010-04-25 2010-04-30 2010-07-03 2010-07-18 2010-10-08 2010-10-26 2010-10-30 2010-10-27 2010-10-18 2011-01-17 2011-01-23 2011-01-28 2010-11-12 2011-03-08 2011-03-11 2011-03-29 2011-04-01 2011-04-02 2011-03-24 2011-04-03 2011-04-05 2011-04-30 2011-07-09 2011-07-18 2011-08-21 2011-08-25 2011-09-19 2011-09-15 2011-10-23 2011-09-01 2011-09-02 2012-01-22 2012-02-04 2012-02-08 2012-02-12 2012-02-13 2012-03-10 2012-03-29 2012-03-30 2012-03-31 2012-03-22 2012-04-04 2012-05-14 2012-05-11 2012-05-15 2012-05-02 2012-05-19 2012-05-21 2012-06-08 2012-05-25 2012-06-21 2012-07-07 2012-07-09 2012-07-10 2012-07-17 2012-07-28 2012-08-31 2012-09-16 2012-09-24 2012-09-30 2012-08-13 2012-10-07 2012-10-09 2012-10-13 2012-11-06 2012-11-09 2013-01-03 2013-01-09 2013-02-14 2013-02-15 2013-02-27 2013-03-05 2013-03-27 2013-03-25 2013-04-06 2013-04-17 2013-04-21 2013-05-15 2013-05-17 2013-06-05 2012-10-25 2013-07-11 2013-07-17 2013-05-18 2013-01-07 2013-07-14 2013-08-08 2013-05-16 2013-08-14 2013-08-18 2013-08-11 2013-07-22 2013-09-07 2013-09-12 2013-09-19 2013-09-17 2013-09-22 2013-09-23 2013-09-25 2013-09-26 2013-10-11 2013-10-01 2013-10-19 2013-10-24 2013-11-06 2013-12-10 2013-12-05 2013-12-20 2014-01-04 2013-12-11 2014-01-10 2014-01-12 2014-01-13 2014-01-19 2014-01-25 2014-02-01 2014-02-05 2014-02-07 2014-02-08 2014-02-10 2014-02-03 2014-02-16 2014-02-18 2014-03-13 2014-03-28 2014-04-02 2013-07-25 2014-04-09 2014-05-04 2014-05-13 2014-05-14 2014-06-04 2014-07-04 2014-07-09 2014-07-18 2014-07-24 2014-07-28 2014-07-29 2014-08-25 2014-03-14 2014-08-26 2014-09-04 2014-08-22 2014-09-03 2014-09-19 2014-09-23 2014-10-20 2014-10-21 2014-11-02 2014-11-26 2014-11-30 2014-12-01 2015-01-20 2015-01-21 2014-11-09 2015-01-23 2015-02-19 2015-02-28 2015-03-11 2015-03-12 2015-03-21 2015-03-28 2015-04-04 2015-04-23 2014-10-27 2015-05-15 2015-03-04 2014-02-22 2015-06-06 2015-05-07 2015-06-13 2015-06-15 2015-03-05 2015-02-10 2015-06-21 2015-07-01 2015-07-05 2015-07-22 2015-07-23 2015-07-25 2015-08-10 2015-08-13 2015-08-21 2015-08-25 2015-08-12 2015-09-27 2015-09-13 2015-10-05 2015-10-04 2015-08-14 2015-10-21 2015-10-25 2015-11-15 2015-12-10 2015-11-16 2016-01-03 2016-01-06 2016-01-09 2016-01-14 2016-01-16 2016-01-29 2016-02-06 2016-02-18 2016-02-16 2016-02-15 2016-02-23 2016-03-09 2016-02-11 2016-03-23 2016-03-26 2016-03-29 2016-04-07 2016-04-08 2016-05-26 2015-10-08 2016-05-06 2016-07-05 2016-07-10 2016-07-21 2016-08-14 2016-08-06 2016-06-19 2015-11-05 2016-09-12 2015-07-27 2016-10-12 2016-10-28 2016-11-01 2016-11-22 2016-12-03 2016-12-08 2017-01-24 2017-01-28 2017-01-29 2017-02-04 2017-02-08 2017-02-09 2016-08-30 2017-03-25 2017-04-06 2017-04-20 2017-04-22 2017-04-21 2017-04-26 2016-11-06 2016-11-08 2016-11-12 2015-06-22 2017-03-12 2017-03-14 2017-04-03 2017-04-28 2017-05-05 2017-05-07 2017-05-06 2017-05-09 2017-05-10 2017-05-12 2017-05-11 2017-05-23 2017-04-29 2017-06-03 2017-06-10 2017-06-27 2017-07-17 2017-08-01 2017-08-06 2017-08-17 2017-08-29 2017-09-05 2015-07-28 2017-09-04 2017-09-01 2017-09-18 2017-09-09 2017-09-23 2017-10-02 2017-10-11 2017-10-17 2017-07-28 2017-10-19 2017-03-23 2017-11-06 2017-11-08 2017-11-16 2017-11-30 2017-12-04 2017-12-10 2017-12-11 2017-12-12 2017-12-23 2018-01-18 2018-01-31 2018-02-01 2018-02-06 2018-02-12 2018-01-11 2018-02-16 2018-02-24 2018-02-27 2018-03-09 2018-03-14 2018-02-28 2018-03-22 2018-03-21 2018-03-23 2018-03-30 2018-03-25 2018-04-04 2018-04-11 2018-04-12 2018-04-20 2018-03-29 2018-04-07 2018-04-24 2018-04-29 2018-05-01 2018-05-07 2018-05-15 2018-05-24 2018-05-22 2018-06-04 2018-06-07 2018-06-08 2018-06-10 2018-06-16 2018-07-22 2018-06-28 2018-08-16 2018-08-09 2018-08-19 2018-09-06 2018-09-07 2018-09-21 2018-05-18 2018-09-25 2018-10-05 2018-10-08 2018-09-19 2018-10-10 2018-10-18 2018-08-11 2018-11-08 2018-11-12 2018-11-23 2018-10-19 2018-08-14 2018-11-22 2018-11-25 2018-12-05 2018-12-06 2018-12-08 2018-12-16 2018-12-26 2018-12-27 2019-01-05 2019-01-09 2018-12-18 2019-01-20 2019-01-23 2019-01-16 2019-02-02 2019-02-07 2019-02-06 2019-02-21 2019-02-25 2019-03-27 2019-04-02 2019-03-31 2019-04-17 2019-05-10 2019-05-11 2019-05-12 2018-12-09 2019-05-03 2019-04-24 2019-05-14 2019-06-01 2019-06-03 2019-06-04 2019-06-08 2019-06-28 2019-07-03 2019-07-04 2019-07-23 2019-08-08 2019-08-23 2019-09-04 2019-09-09 2019-05-21 2019-09-14 2019-09-15 2019-09-19 2019-09-25 2019-10-07 2019-10-15 2019-10-28 2019-11-11 2019-11-16 2019-11-18 2019-07-24 2019-12-06 2019-12-18 2019-12-24 2019-12-30 2019-08-27 2020-01-05 2020-01-04 2019-11-19 2020-01-06 2020-01-07 2020-01-09 2020-01-14 2020-01-15 2020-01-16 2020-01-08 2020-01-22 2020-01-21 2020-01-23 2020-02-02 2020-02-03 2020-02-07 2020-02-08 2020-03-03 2020-03-24 2020-03-26 2020-03-25 2020-03-31 2020-04-08 2020-04-17 2020-05-17 2020-05-21 2020-05-22 2020-06-08 2020-06-16 2020-07-08 2020-05-08 2020-07-12 2020-08-03 2020-08-25 2020-08-31 2020-09-02 2020-07-23 2020-08-13 2020-10-19 2020-09-11 2020-10-22 2020-10-21 2020-10-29 2020-11-09 2020-11-23 2020-11-26 2020-11-29 2020-12-07 2021-01-01 2021-01-03 2021-03-11 2021-03-18 2021-03-19 2021-03-22 2021-04-27 2021-04-28 2021-04-30 2021-05-04 2021-05-12 2021-05-13 2021-05-14 2021-06-07 2021-06-08 2021-06-10 2021-06-15 2021-06-18 2021-07-04 2021-07-07 2021-07-10 2021-08-07 2021-08-18 2021-09-02 2021-10-03 2021-11-02 2021-11-04 2021-11-09 2021-11-10 2021-11-12 2021-11-18 2021-11-19 2021-12-15 2021-12-18 2022-01-03 2022-01-07 2022-01-08 2021-10-18 2021-10-19 2022-02-11 2022-01-18 2022-02-16 2022-03-18 2022-03-24 2022-04-11,  Travis Oliphant sasha Pearu Peterson cookedm Stefan van der Walt Jarrod Millman Charles Harris Robert Kern Alan McIntyre Pauli Virtanen David Cournapeau Mark Wiebe Martin Spacek Justin Peel Luis Pedro Coelho Matthew Brett Eli Stevens Ralf Gommers Ben Walsh Hrvoje Niksic Ben Root Chris Jordan-Squire Warren Weckesser Thouis (Ray) Jones Bryan Van de Ven Nathaniel J. Smith Travis E. Oliphant Eric Fode Jay Bourque cgohlke Han Genuit John Salvatier Sebastian Berg Eric Moore Frederic Julian Taylor David Warde-Farley Yury V. Zaytsev Bago Amirbekian Blake Griffith Arink Verma John Stechschulte Alexander Belopolsky Lev Abalkin jaimefrio Daniel da Silva Michael Droettboom Henning Dickten Darsh P. Ranjan hannaro John Tyree Jaime Fernandez Allan Haldane Marten van Kerkwijk Antoine Pitrou Sturla Molden wim glenn Yash Mehrotra Anne Archibald behzad nouri Colin Jermain alex Evgeni Burovski John Kirkham gfyoung Dongjoon Hyun Christoph Gohlke Simon Gibbons Antony Lee Loïc Estève Erik M. Bray John Zwinck mattip Matthias C. M. Troffaes Matti Picus Frederic Bastien saurabh Pavel Potocek Alexandr Shadchin Eric Wieser davidjn Stephan Hoyer Ville Skyttä Michael Lamparski Stefan Winkler Erik Bray Han Shen Unknown xoviat luz.paz Chris Billington Frederick Lefebvre luzpaz fivemok Mike Toews Elliott Sales de Andrade Tyler Reddy Pierre Glaser kngwyu Roman Yurchak wtli adeak Michel Fruchart Hameer Abbasi Sergei Lebedev sorenrasmussenai Richard Harris Guilherme Leobas Qiming Sun Seth Troisi Zijie (ZJ) Poh Nico Schlömer Keewis Jon Dufresne Brian Wignall Mike Taves Ross Barnowski sgasse m-podhajski Brandt Bucher Kevin Moore Anirudh Subramanian Abhinav Reddy Simon Gasse Hugo Simon Graham Maia Kaplan a-elhag DWesl Bas van Beek Mateusz Sokół Matthew Badin Lisa Marco Aurélio da Costa Marco Aurelio da Costa czgdp1807 slepton Gagandeep Singh Joseph R. Fox-Rabinovitz Raghuveer Devulapalli Sayed Adel Alexandre de Siqueira
numpy/lib/tests/test_arraysetops.py, test_arraysetops.py, 2006-01-09, 35, 74,  2006-01-09 2006-03-10 2006-07-06 2006-07-17 2006-09-18 2006-09-19 2007-01-08 2007-10-02 2007-12-15 2007-12-21 2007-12-30 2008-06-17 2008-06-21 2008-07-03 2008-07-22 2008-08-08 2008-08-13 2009-06-08 2009-07-08 2009-07-20 2010-08-31 2011-03-07 2011-05-29 2012-07-11 2012-12-08 2012-12-16 2013-02-27 2013-03-27 2013-04-06 2013-02-20 2013-04-13 2013-08-18 2013-09-02 2014-02-21 2014-01-09 2014-06-06 2014-07-30 2014-09-22 2015-05-06 2016-10-19 2016-10-27 2016-11-13 2017-02-23 2017-05-04 2017-05-20 2017-07-17 2017-11-18 2018-01-09 2018-01-10 2018-01-18 2018-01-31 2018-02-13 2018-04-04 2018-04-29 2018-05-25 2018-08-17 2018-08-26 2018-10-12 2018-12-06 2019-01-10 2019-07-01 2019-08-12 2019-11-25 2019-08-27 2020-01-05 2020-03-12 2020-03-13 2020-10-05 2021-02-08 2021-02-12 2021-06-29,  Robert Cimrman cookedm Stefan van der Walt Travis Oliphant Alan McIntyre Jarrod Millman dhuard rgommers Charles Harris Sebastian Berg Julien Phalip jaimefrio CJ Carey Christian Brodbeck MattHarrigan martinosorb Eric Wieser B R S Recht Konrad Kapp Jörg Döpfert Anas Khan Marten van Kerkwijk Christopher Tyler Reddy Roman Yurchak mattip MSeifert04 Huang, Guangtai Jon Dufresne Huon Wilson Warren Weckesser stuartarchibald AngelGris Filip Trojan Thomas J. Fan
numpy/core/tests/test_numeric.py, test_numeric.py, 2006-01-17, 76, 299,  2006-01-17 2006-01-18 2006-01-19 2006-01-20 2006-01-29 2006-03-10 2006-03-13 2006-03-22 2006-04-20 2006-04-24 2006-06-10 2006-06-16 2006-06-21 2006-06-26 2006-07-06 2006-08-29 2006-10-12 2007-01-08 2007-03-30 2007-03-31 2007-04-02 2007-08-20 2007-10-02 2007-10-29 2007-12-15 2008-04-06 2008-04-07 2008-05-10 2008-06-17 2008-06-21 2008-07-03 2008-07-07 2008-07-13 2008-07-21 2008-08-08 2009-06-02 2009-07-04 2009-07-08 2009-07-18 2009-07-21 2009-09-16 2009-09-18 2010-02-21 2010-07-18 2010-07-28 2010-08-14 2010-11-11 2010-11-15 2010-11-28 2010-12-02 2011-01-16 2011-01-18 2011-01-21 2011-01-23 2011-01-24 2011-01-25 2011-01-26 2011-01-27 2011-01-28 2011-01-31 2011-02-01 2011-03-01 2011-03-15 2011-04-01 2011-04-03 2011-04-05 2011-04-12 2011-04-22 2011-06-09 2011-06-16 2011-07-28 2011-08-17 2011-08-19 2012-02-20 2012-03-03 2012-03-04 2012-05-08 2012-05-19 2012-05-11 2013-01-02 2013-01-19 2013-02-26 2013-02-27 2013-03-05 2013-03-27 2013-04-06 2013-04-26 2013-05-10 2013-01-13 2013-01-14 2013-05-04 2013-05-06 2013-06-14 2013-06-30 2013-06-25 2013-07-03 2013-06-29 2013-07-11 2013-05-15 2013-06-20 2013-07-14 2013-08-17 2013-08-18 2013-08-31 2013-10-04 2013-10-13 2013-09-29 2013-10-22 2014-02-12 2014-02-20 2014-02-21 2013-12-20 2014-03-05 2014-02-26 2014-06-06 2014-06-19 2014-06-30 2014-07-27 2014-08-26 2014-09-03 2014-09-04 2014-09-24 2014-10-28 2014-12-08 2014-12-22 2015-01-03 2015-01-14 2015-01-18 2015-01-20 2015-02-20 2015-05-10 2015-05-17 2015-06-20 2015-07-05 2015-07-22 2015-07-23 2015-11-04 2015-12-02 2015-12-10 2016-01-03 2016-01-08 2016-01-15 2016-01-18 2016-01-16 2016-02-01 2014-04-14 2016-02-03 2016-01-21 2016-03-19 2016-05-08 2016-06-17 2016-01-29 2016-08-06 2016-06-19 2016-11-21 2017-02-09 2017-02-12 2017-02-08 2017-02-22 2017-03-26 2017-06-10 2017-07-01 2017-07-17 2017-08-01 2017-09-01 2017-09-06 2017-06-26 2017-09-18 2017-09-19 2017-09-27 2017-10-17 2017-11-08 2017-12-23 2018-03-12 2018-03-25 2018-04-04 2018-04-29 2018-05-24 2018-05-22 2018-07-25 2018-08-19 2018-09-06 2018-09-13 2018-09-26 2018-12-06 2019-01-30 2019-02-25 2019-04-01 2019-04-25 2019-05-08 2019-05-12 2018-12-09 2019-03-04 2019-04-11 2019-05-21 2019-04-14 2019-05-26 2019-06-11 2019-05-27 2019-07-17 2019-08-18 2019-05-23 2019-10-28 2019-11-06 2019-11-11 2019-12-06 2019-08-27 2020-01-05 2020-01-12 2020-01-09 2020-01-14 2019-12-03 2020-01-22 2020-01-23 2020-01-28 2020-01-24 2020-02-03 2020-02-07 2020-02-19 2020-03-31 2020-04-10 2020-05-11 2020-07-15 2020-08-25 2020-09-02 2020-11-04 2021-01-11 2021-01-18 2021-01-04 2021-02-04 2020-03-02 2020-10-10 2021-01-19 2021-06-04 2021-06-23 2021-07-12 2021-07-16 2021-07-19 2021-02-01 2021-08-19 2021-09-17 2021-10-01 2021-10-08 2021-10-27 2021-10-29,  Travis Oliphant sasha cookedm Tim Hochberg Stefan van der Walt Jarrod Millman aarchiba Robert Kern Alan McIntyre David Cournapeau Charles Harris Pauli Virtanen rgommers Mark Wiebe Ralf Gommers Joe Kington Denis Laxalde Nathaniel J. Smith Sebastian Berg Jay Bourque Johannes Schönberger Julian Taylor Fernando Perez Benjamin Root Marten van Kerkwijk jaimefrio Sankarshan Mudkavi Garrett-R Maniteja Nandana Eric Moore chebee7i Jaime Fernandez Holger Kohr Stephan Hoyer Andrew Nelson gfyoung Nathaniel Beaver Thomas A Caswell Antony Lee Eric Wieser mattip Pim de Haan Michael Seifert Allan Haldane Jeroen Demeyer Matti Picus xoviat Roman Yurchak Dominic Jack Rishabh Chakrabarti Chirag Nighut Peter Andreas Entschev Hunter Damron Tyler Reddy Alexander Blinne Gary Gurlaskie Warren Weckesser Doug Davis Jon Dufresne kai-striega Seth Troisi Brian Wignall tirthasheshpatel Mike Taves Zac-HD Hameer Abbasi Ross Barnowski takanori-pskq Touqir Sajed Aitik Gupta Stephannie Jimenez Gacha DWesl shubham11941140 warren Alessia Marcolini Bas van Beek
numpy/core/tests/test_numerictypes.py, test_numerictypes.py, 2006-02-01, 19, 59,  2006-02-01 2006-02-14 2006-03-10 2006-04-26 2006-06-14 2006-06-16 2006-07-06 2006-08-10 2007-01-08 2007-10-02 2007-12-15 2008-04-11 2008-04-20 2008-06-17 2008-06-21 2008-07-03 2008-08-08 2009-01-06 2009-02-12 2009-07-16 2009-12-06 2010-02-20 2010-02-21 2011-01-23 2011-03-01 2011-04-05 2013-02-27 2013-03-27 2013-04-06 2013-08-18 2013-09-25 2015-07-05 2015-07-22 2017-03-25 2017-07-17 2017-08-01 2018-04-04 2018-06-14 2018-09-10 2018-09-09 2018-09-18 2018-09-22 2018-10-07 2018-10-09 2018-12-01 2019-03-31 2017-12-02 2019-08-27 2020-01-05 2020-01-08 2020-02-03 2020-02-07 2020-03-18 2020-03-21 2022-03-14,  Travis Oliphant cookedm Pearu Peterson Stefan van der Walt Jarrod Millman Alan McIntyre Pauli Virtanen Charles Harris rgommers Sebastian Berg Eric Wieser Yannick Jadoul Tyler Reddy Roman Yurchak mattip Jon Dufresne Seth Troisi Matti Picus Geoffrey Gunter
